Episode	Date	Title	Duration	Categories
1	2019-01-14	The future of collecting and updating geospatial data at a global scale	46:08	Earth Observation, Geospatial Startups, Geospatial Tech and Tools, GIS
2	2019-02-08	Indoor mapping and navigation: Manage, visualize, and analyze data	40:37	Geospatial Concepts, Geospatial Tech and Tools, GIS
3	2019-03-10	Bellerby & Co – The globemakers	46:35	GIS
4	2019-04-02	freelance mappers create maps for machines	43:43	Geospatial Startups, Geospatial Tech and Tools, GIS
5	2019-04-08	Powering location intelligence with geo social data – Spatial.ai	33:48	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools, GIS
6	2019-04-16	Data discovery – the way it should be	38:40	mapscaping.com
7	2019-04-25	Augmented reality will change the way you think about geospatial	29:52	Geospatial Concepts, Geospatial Tech and Tools, GIS
8	2019-05-03	Geo-tagged audio – another way of augmenting reality	29:25	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools, GIS
9	2019-05-08	Proof of location, bringing the blockchain to the real world	26:14	mapscaping.com
10	2019-05-15	Mapping Personalised Workplace Risk	32:29	GIS
11	2019-05-22	Translating between machine and human when talking about location	41:37	Geospatial Concepts, GIS
12	2019-05-29	Tracking global air traffic in real time	25:17	mapscaping.com
13	2019-06-05	A mapping platform for your outdoor adventures	33:38	Geospatial Startups, Geospatial Tech and Tools, GIS
14	2019-06-12	Scaling map data generation using computer vision	32:15	Geospatial Startups, Geospatial Tech and Tools
15	2019-06-19	A diary of your location – recording your travel journeys using GPS tracks	43:32	Geospatial Startups, Geospatial Tech and Tools, GIS
16	2019-06-25	Positioning as a service and the role of smartphones in the future of geolocation	29:09	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools
17	2019-07-03	Creating Global Activity Specific Maps	27:49	Geospatial Career, Geospatial Tech and Tools, GIS
18	2019-07-10	Mapping the way we relate to the urban environment	38:08	Geospatial Career, Geospatial Concepts, GIS
19	2019-07-17	A geospatial story and some housekeeping	38:05	mapscaping.com
20	2019-07-31	The Google Drive of geospatial – curation over creation	40:39	Geospatial Startups, Geospatial Tech and Tools, GIS
21	2019-08-08	Immersive maps give context to data – this is Street View for rivers	23:12	mapscaping.com
22	2019-08-14	Highways in the sky, risk islands and drone flight paths	34:34	Geospatial Startups, Geospatial Tech and Tools, GIS
23	2019-08-21	Crowd source clean the planet – a geospatial approach	32:25	Geospatial Startups, GIS
24	2019-08-28	Geospatial support for humanitarian emergencies	22:44	Geospatial Career, GIS
25	2019-09-04	Inspirational geospatial visualizations	37:39	Geospatial Career
26	2019-09-11	Geospatial gives context to risk	46:58	mapscaping.com
27	2019-09-18	The location context platform	27:58	Geospatial Startups, Geospatial Tech and Tools, GIS
28	2019-09-25	Using the geomagnetic field of buildings to navigate indoors	35:52	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools, GIS
29	2019-10-02	Geospatial visualisations matter – Civil engineering meets online gaming	28:31	Geospatial Tech and Tools
30	2019-10-09	A marketplace for geospatial data and workflows	47:45	Geospatial Startups, Geospatial Tech and Tools
31	2019-10-16	Remote sensing and future of earth observation	45:14	Earth Observation, Geospatial Career, Geospatial Concepts, Geospatial Tech and Tools, GIS
32	2019-10-23	Building footprints at scale	36:12	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools
33	2019-10-30	Geomob – Geoinnovation for the people by the people	34:52	Geospatial Tech and Tools, GIS
34	2019-11-06	Creating maps for journalists	33:48	Geospatial Startups, GIS
35	2019-11-13	Mapping the interface between vehicle traffic and pedestrians	32:38	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools
36	2019-11-20	Building geospatial truth sets	38:06	Geospatial Startups, Geospatial Tech and Tools, GIS
37	2019-11-27	Don’t just make the dots, connect them	48:42	Geospatial Career, Geospatial Concepts, Geospatial Tech and Tools, GIS
38	2019-12-04	Addressing the world – a coordinate system from humans	32:20	Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools, GIS
39	2019-12-11	Remote sensing – building the globe in 3D	47:50	Earth Observation, Geospatial Concepts, Geospatial Tech and Tools
40	2019-12-18	Travel Time – A better way of doing location based search	40:02	Geospatial Concepts, Geospatial Tech and Tools, GIS
41	2019-12-26	Trends in geospatial and initiatives in the community	15:02	mapscaping.com
42	2020-01-15	The evolution of geospatial file formats and data exchange  – An interview with the Co founder of Safe Software	39:40	Geospatial Career, Geospatial Concepts, GIS
43	2020-01-22	Geospatial intelligence from the sky, automating the mining industry	26:39	Earth Observation, Geospatial Tech and Tools
44	2020-01-29	Is R the language of geospatial data?	34:27	Geospatial Career, Geospatial Concepts, Geospatial Tech and Tools, GIS
45	2020-02-05	Geo-coding as a tool for risk assessment and the role of GIS in the insurance industry	31:11	Geospatial Concepts, Geospatial Tech and Tools, GIS
46	2020-02-12	PostgreSQL – An open source geospatial database for GIS practitioners	31:26	Geospatial Career, Geospatial Tech and Tools, GIS
47	2020-02-19	Earth Observation – machine learning and artificial intelligence	41:37	Earth Observation, Geospatial Concepts
48	2020-02-26	Serverless Geospatial	34:01	Geospatial Concepts, Geospatial Tech and Tools, GIS
49	2020-03-03	A Case Study in GIS	49:02	Geospatial Career, GIS
50	2020-03-12	QGIS – An opensource geospatial project	37:35	Geospatial Concepts, Geospatial Tech and Tools, GIS
51	2020-03-18	Disrupting ESRI – Why it is hard to build a big geospatial business	43:26	Geospatial Career, Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools
52	2020-03-25	Earth Observation, platforms and data	47:52	Earth Observation, Geospatial Startups, Geospatial Tech and Tools
53	2020-04-01	Dynamic vector tiles straight from the database	36:02	Geospatial Concepts, Geospatial Tech and Tools, GIS
54	2020-04-08	The overlap between Business Intelligence tools and GIS software	32:18	Geospatial Career, Geospatial Concepts, Geospatial Startups, Geospatial Tech and Tools, GIS
55	2020-04-15	Advice for job seekers from a geospatial recruitment expert	29:05	Geospatial Career, GIS
56	2020-04-22	Robotics, remote sensing and facilities management	35:13	Geospatial Concepts, Geospatial Tech and Tools, GIS
57	2020-04-29	GIS vs Computer-aided design – everything you have always wanted to know #geospatial	36:35	Geospatial Concepts, Geospatial Tech and Tools, GIS
58	2020-05-06	Rebranding GIS Geospatial	33:36	Geospatial Career, Geospatial Concepts, GIS
59	2020-05-13	Two mobile data collection apps you need to know about	35:21	Geospatial Tech and Tools
